event	contribution_type	contribution_value	contribution_unit	importance
3	probability	1E-5	1	0.3333
4	probability	1E-5	1	0.3333
5	probability	1E-5	1	0.3333
6	probability	8E-10	1	2.666E-5
7	probability	8E-10	1	2.666E-5
8	probability	8E-10	1	2.666E-5
10	probability	3E-10	1	9.999E-6
11	probability	3E-10	1	9.999E-6
12	probability	3E-10	1	9.999E-6
13	probability	3E-10	1	9.999E-6
14	probability	3E-10	1	9.999E-6
15	probability	3E-10	1	9.999E-6
16	probability	3E-10	1	9.999E-6
9	probability	3E-10	1	9.999E-6
1	probability	0	1	0
2	probability	0	1	0
