event	contribution_type	contribution_value	contribution_unit	importance
2	probability	1E-5	1	0.2499
3	probability	1E-5	1	0.2499
4	probability	1E-5	1	0.2499
5	probability	1E-5	1	0.2499
1	probability	1E-8	1	2.499E-4
6	probability	8E-10	1	1.999E-5
7	probability	8E-10	1	1.999E-5
8	probability	8E-10	1	1.999E-5
10	probability	3E-10	1	7.498E-6
11	probability	3E-10	1	7.498E-6
12	probability	3E-10	1	7.498E-6
13	probability	3E-10	1	7.498E-6
14	probability	3E-10	1	7.498E-6
15	probability	3E-10	1	7.498E-6
16	probability	3E-10	1	7.498E-6
9	probability	3E-10	1	7.498E-6
