quantity_type	quantity_value	quantity_unit	cut_set	cut_set_order
probability	1E-5	1	4	1
probability	1E-5	1	5	1
probability	1E-10	1	6.10	2
probability	1E-10	1	6.11	2
probability	1E-10	1	6.12	2
probability	1E-10	1	6.13	2
probability	1E-10	1	6.14	2
probability	1E-10	1	6.15	2
probability	1E-10	1	6.16	2
probability	1E-10	1	6.9	2
probability	1E-10	1	7.10	2
probability	1E-10	1	7.11	2
probability	1E-10	1	7.12	2
probability	1E-10	1	7.13	2
probability	1E-10	1	7.14	2
probability	1E-10	1	7.15	2
probability	1E-10	1	7.16	2
probability	1E-10	1	7.9	2
probability	1E-10	1	8.10	2
probability	1E-10	1	8.11	2
probability	1E-10	1	8.12	2
probability	1E-10	1	8.13	2
probability	1E-10	1	8.14	2
probability	1E-10	1	8.15	2
probability	1E-10	1	8.16	2
probability	1E-10	1	8.9	2
