quantity_type	quantity_value	quantity_unit	cut_set	cut_set_order
probability	0.00001	1	2	1
probability	0.00001	1	3	1
probability	0.00001	1	4	1
probability	0.00001	1	5	1
probability	1E-8	1	1	1
probability	1E-10	1	10.6	2
probability	1E-10	1	10.7	2
probability	1E-10	1	10.8	2
probability	1E-10	1	11.6	2
probability	1E-10	1	11.7	2
probability	1E-10	1	11.8	2
probability	1E-10	1	12.6	2
probability	1E-10	1	12.7	2
probability	1E-10	1	12.8	2
probability	1E-10	1	13.6	2
probability	1E-10	1	13.7	2
probability	1E-10	1	13.8	2
probability	1E-10	1	14.6	2
probability	1E-10	1	14.7	2
probability	1E-10	1	14.8	2
probability	1E-10	1	15.8	2
probability	1E-10	1	16.8	2
probability	1E-10	1	6.15	2
probability	1E-10	1	6.16	2
probability	1E-10	1	7.15	2
probability	1E-10	1	7.16	2
probability	1E-10	1	9.6	2
probability	1E-10	1	9.7	2
probability	1E-10	1	9.8	2
