event	contribution_type	contribution_value	contribution_unit	importance
X35	probability	0.06632	1	0.5563
X5	probability	0.06545	1	0.549
X30	probability	0.03481	1	0.292
X37	probability	0.03481	1	0.292
X9	probability	0.02974	1	0.2494
X32	probability	0.01809	1	0.1517
X17	probability	5.94E-3	1	0.04982
X1	probability	8.652E-4	1	7.257E-3
X2	probability	8.652E-4	1	7.257E-3
X3	probability	8.652E-4	1	7.257E-3
X4	probability	8.652E-4	1	7.257E-3
X46	probability	8.652E-4	1	7.257E-3
X10	probability	0	1	0
X11	probability	0	1	0
X12	probability	0	1	0
X13	probability	0	1	0
X14	probability	0	1	0
X15	probability	0	1	0
X16	probability	0	1	0
X18	probability	0	1	0
X19	probability	0	1	0
X20	probability	0	1	0
X21	probability	0	1	0
X22	probability	0	1	0
X23	probability	0	1	0
X24	probability	0	1	0
X25	probability	0	1	0
X26	probability	0	1	0
X27	probability	0	1	0
X28	probability	0	1	0
X29	probability	0	1	0
X31	probability	0	1	0
X33	probability	0	1	0
X34	probability	0	1	0
X36	probability	0	1	0
X38	probability	0	1	0
X39	probability	0	1	0
X40	probability	0	1	0
X41	probability	0	1	0
X42	probability	0	1	0
X43	probability	0	1	0
X44	probability	0	1	0
X45	probability	0	1	0
X6	probability	0	1	0
X7	probability	0	1	0
X8	probability	0	1	0
