event	contribution_type	contribution_value	contribution_unit	importance
A_6	probability	0.011112	1	1
O_6	probability	0.01	1	0.899928
A_7	probability	1.112E-3	1	0.100072
O_7	probability	1E-3	1	0.0899928
A_8	probability	1.12E-4	1	0.0100792
O_8	probability	1E-4	1	8.99928E-3
A_9	probability	1.2E-5	1	1.07991E-3
O_9	probability	1E-5	1	8.99928E-4
A_10	probability	2E-6	1	1.79986E-4
L	probability	1E-6	1	8.99928E-5
O_10	probability	1E-6	1	8.99928E-5
A_1	probability	0	1	0
A_2	probability	0	1	0
A_3	probability	0	1	0
A_4	probability	0	1	0
A_5	probability	0	1	0
O_1	probability	0	1	0
O_2	probability	0	1	0
O_3	probability	0	1	0
O_4	probability	0	1	0
O_5	probability	0	1	0
